date,idx,headline,quality_score,semantic_consistency,evaluator_outcome,rubric_weight,outcome_alpha,llm_picks,final_reward,leak_flag
20250802,0,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0.5199999999999999,0.9381240606307983,0.7142857142857143,0.25,0.0,0,0.8335930454730988,1
20250802,1,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0.6799999999999999,0.936126708984375,0.5714285714285714,0.25,0.0,0,0.8720950317382812,1
20250802,2,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0.8499999999999999,0.9465315937995911,0.8571428571428572,0.25,0.0,0,0.9223986953496932,0
20250802,3,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0.8499999999999999,0.9336858987808228,0.4285714285714286,0.25,0.0,0,0.912764424085617,0
20250802,4,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0.8499999999999999,0.9203463196754456,0.0,0.25,0.0,0,0.9027597397565841,0
20250802,5,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0.8499999999999999,0.9498963952064514,1.0,0.25,0.0,0,0.9249222964048385,0
20250802,6,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0.6799999999999999,0.9256192445755005,0.2857142857142857,0.25,0.0,0,0.8642144334316253,0
20250802,7,"trivago Is Now Fairly Valued With Strong Financials, But Still Not Worth Buying",0.0,0.9237373471260071,0.1428571428571429,0.25,0.0,0,0.6928030103445053,0
20250802,8,"CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",0.8499999999999999,0.9486771821975708,0.7142857142857143,0.25,0.0,0,0.924007886648178,0
20250802,9,"CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",0.6799999999999999,0.9397754669189453,0.4285714285714286,0.25,0.0,0,0.8748316001892089,1
20250802,10,"CEZ, a. s. 2025 Q2 - Results - Earnings Call Presentation",0.6799999999999999,0.9258303046226501,0.2857142857142857,0.25,0.0,0,0.8643727284669875,0
