prediction_id,headline,rollout_id,method,ranking,reward,date,status
20250830_next_day_Suze_Orman_spills_th_0,Suze Orman spills the biggest mistakes keeping you from financial independence,0,basic_stochastic,8,0.0,20250830,evaluated
20250830_next_day_Suze_Orman_spills_th_1,Suze Orman spills the biggest mistakes keeping you from financial independence,1,basic_stochastic,4,0.5714285714285714,20250830,evaluated
20250830_next_day_Suze_Orman_spills_th_2,Suze Orman spills the biggest mistakes keeping you from financial independence,2,basic_stochastic,7,0.1428571428571429,20250830,evaluated
20250830_next_day_Suze_Orman_spills_th_3,Suze Orman spills the biggest mistakes keeping you from financial independence,3,basic_stochastic,3,0.7142857142857143,20250830,evaluated
20250830_next_day_Suze_Orman_spills_th_4,Suze Orman spills the biggest mistakes keeping you from financial independence,4,basic_stochastic,5,0.4285714285714286,20250830,evaluated
20250830_next_day_Suze_Orman_spills_th_5,Suze Orman spills the biggest mistakes keeping you from financial independence,5,basic_stochastic,1,1.0,20250830,evaluated
20250830_next_day_Suze_Orman_spills_th_6,Suze Orman spills the biggest mistakes keeping you from financial independence,6,basic_stochastic,2,0.8571428571428572,20250830,evaluated
20250830_next_day_Suze_Orman_spills_th_7,Suze Orman spills the biggest mistakes keeping you from financial independence,7,basic_stochastic,6,0.2857142857142857,20250830,evaluated
20250830_next_day_Russia_launches_mass_0,"Russia launches massive attack on Ukraine, as Kyiv hits oil refineries",0,basic_stochastic,4,0.5714285714285714,20250830,evaluated
20250830_next_day_Russia_launches_mass_1,"Russia launches massive attack on Ukraine, as Kyiv hits oil refineries",1,basic_stochastic,6,0.2857142857142857,20250830,evaluated
20250830_next_day_Russia_launches_mass_2,"Russia launches massive attack on Ukraine, as Kyiv hits oil refineries",2,basic_stochastic,1,1.0,20250830,evaluated
20250830_next_day_Russia_launches_mass_3,"Russia launches massive attack on Ukraine, as Kyiv hits oil refineries",3,basic_stochastic,7,0.1428571428571429,20250830,evaluated
20250830_next_day_Russia_launches_mass_4,"Russia launches massive attack on Ukraine, as Kyiv hits oil refineries",4,basic_stochastic,3,0.7142857142857143,20250830,evaluated
20250830_next_day_Russia_launches_mass_5,"Russia launches massive attack on Ukraine, as Kyiv hits oil refineries",5,basic_stochastic,2,0.8571428571428572,20250830,evaluated
20250830_next_day_Russia_launches_mass_6,"Russia launches massive attack on Ukraine, as Kyiv hits oil refineries",6,basic_stochastic,5,0.4285714285714286,20250830,evaluated
20250830_next_day_Russia_launches_mass_7,"Russia launches massive attack on Ukraine, as Kyiv hits oil refineries",7,basic_stochastic,8,0.0,20250830,evaluated
20250830_next_day_Is_Archer_Aviation_S_0,Is Archer Aviation Stock A Sleeper Hit In The Flying Car Wars?,0,basic_stochastic,5,0.4285714285714286,20250830,evaluated
20250830_next_day_Is_Archer_Aviation_S_1,Is Archer Aviation Stock A Sleeper Hit In The Flying Car Wars?,1,basic_stochastic,4,0.5714285714285714,20250830,evaluated
20250830_next_day_Is_Archer_Aviation_S_2,Is Archer Aviation Stock A Sleeper Hit In The Flying Car Wars?,2,basic_stochastic,7,0.1428571428571429,20250830,evaluated
20250830_next_day_Is_Archer_Aviation_S_3,Is Archer Aviation Stock A Sleeper Hit In The Flying Car Wars?,3,basic_stochastic,6,0.2857142857142857,20250830,evaluated
20250830_next_day_Is_Archer_Aviation_S_4,Is Archer Aviation Stock A Sleeper Hit In The Flying Car Wars?,4,basic_stochastic,1,1.0,20250830,evaluated
20250830_next_day_Is_Archer_Aviation_S_5,Is Archer Aviation Stock A Sleeper Hit In The Flying Car Wars?,5,basic_stochastic,3,0.7142857142857143,20250830,evaluated
20250830_next_day_Is_Archer_Aviation_S_6,Is Archer Aviation Stock A Sleeper Hit In The Flying Car Wars?,6,basic_stochastic,8,0.0,20250830,evaluated
20250830_next_day_Is_Archer_Aviation_S_7,Is Archer Aviation Stock A Sleeper Hit In The Flying Car Wars?,7,basic_stochastic,2,0.8571428571428572,20250830,evaluated
20250830_next_day_What_happens_next_af_0,What happens next after Trump tariffs ruled illegal?,0,basic_stochastic,4,0.5714285714285714,20250830,evaluated
20250830_next_day_What_happens_next_af_1,What happens next after Trump tariffs ruled illegal?,1,basic_stochastic,8,0.0,20250830,evaluated
20250830_next_day_What_happens_next_af_2,What happens next after Trump tariffs ruled illegal?,2,basic_stochastic,5,0.4285714285714286,20250830,evaluated
20250830_next_day_What_happens_next_af_3,What happens next after Trump tariffs ruled illegal?,3,basic_stochastic,1,1.0,20250830,evaluated
20250830_next_day_What_happens_next_af_4,What happens next after Trump tariffs ruled illegal?,4,basic_stochastic,7,0.1428571428571429,20250830,evaluated
20250830_next_day_What_happens_next_af_5,What happens next after Trump tariffs ruled illegal?,5,basic_stochastic,6,0.2857142857142857,20250830,evaluated
20250830_next_day_What_happens_next_af_6,What happens next after Trump tariffs ruled illegal?,6,basic_stochastic,3,0.7142857142857143,20250830,evaluated
20250830_next_day_What_happens_next_af_7,What happens next after Trump tariffs ruled illegal?,7,basic_stochastic,2,0.8571428571428572,20250830,evaluated
20250830_next_day_Is_the_stock-market__0,Is the stock-market tide turning in favor of small caps?,0,basic_stochastic,2,0.8571428571428572,20250830,evaluated
20250830_next_day_Is_the_stock-market__1,Is the stock-market tide turning in favor of small caps?,1,basic_stochastic,1,1.0,20250830,evaluated
20250830_next_day_Is_the_stock-market__2,Is the stock-market tide turning in favor of small caps?,2,basic_stochastic,8,0.0,20250830,evaluated
20250830_next_day_Is_the_stock-market__3,Is the stock-market tide turning in favor of small caps?,3,basic_stochastic,5,0.4285714285714286,20250830,evaluated
20250830_next_day_Is_the_stock-market__4,Is the stock-market tide turning in favor of small caps?,4,basic_stochastic,3,0.7142857142857143,20250830,evaluated
20250830_next_day_Is_the_stock-market__5,Is the stock-market tide turning in favor of small caps?,5,basic_stochastic,7,0.1428571428571429,20250830,evaluated
20250830_next_day_Is_the_stock-market__6,Is the stock-market tide turning in favor of small caps?,6,basic_stochastic,4,0.5714285714285714,20250830,evaluated
20250830_next_day_Is_the_stock-market__7,Is the stock-market tide turning in favor of small caps?,7,basic_stochastic,6,0.2857142857142857,20250830,evaluated
